Text,Level,A1,A2,B1,B2,C1,C2,Labels,Text Count
Is that your bike ,A1,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]",4
She had a beautiful necklace around her neck . ,A1,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]",9
I forgot to bring my umbrella . ,A1,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]",7
The baby kept crying . ,A1,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]",5
Do you know what you 're doing this weekend ,A1,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]",9
No one had money . ,A1,1,0,0,0,0,0,"[1, 0, 0, 0, 0, 0]",5
Ben must like his new car a lot . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
Harrison got very excited when his parents gave him a car . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",12
I like dogs more than cats . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
"Now I am being called by Softbank , too ",A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
Larry has a shark 's tooth . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
He 's already gone to bed . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
He 's very good at taking care of children . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
Sushi is raw fish . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
Children love to play outdoors . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
I want to eat something sweet . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
I will do it as soon as I return . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
Can you draw the British flag ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
She 's so quiet that we forget she 's here . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",11
Where are my khaki shorts ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
These are the friends whose names you know . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
David sent his friend a wedding gift . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
I wish I had some cool water to drink . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
Do n't wear khakis to the business meeting . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
Mother was too shy to wear a bikini . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
Shall I teach you to dance ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
This huge store only has three cashiers ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
These were the men who ran the red light . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
His wife is Vietnamese . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
They were cycling in the mountains . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
They 've just asked her to stay another year . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
I have lunch after third period . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
This iPad is as fast as a desktop computer . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
It was past twelve when we arrived home . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
I find it easy to sleep . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
He planned to kill the president . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
I wish I could have stayed there forever on that beach . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",12
I could n't do it even if I tried . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
Keep your knees up when you jump . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
You may drive my car . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
Driving is something I enjoy doing . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
"Do your work , or you wo n't get paid . ",A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",11
I wish it could be different . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",7
It 's hard to tell if these are my socks or his . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",13
I always wanted to be an athlete . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
She 's changed her major from math to chemistry . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",10
Were there any dresses you wanted to buy ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
Carley went shopping for a dress today . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",8
He has a talking dog . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",6
What 's the date today ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",5
I thought I had to talk to him . ,A2,0,1,0,0,0,0,"[0, 1, 0, 0, 0, 0]",9
